PSANationalCode,PSANAME,GACCUnitID,afgNPP_norm,pfgNPP_norm,HER_norm
SA07,TX East N,USGASAC,11.488252022809778,100.43741129426432,111.92566331707424
SA08,TX Mountains,USGASAC,1.2448239553408853,26.600730247427293,27.845554202768145
SA09,TX West,USGASAC,3.687796021211037,39.539611140167466,43.22740716137856
SA10,TX Cent SW,USGASAC,7.543006504191781,81.83713901129455,89.38014551548623
SA11,TX Cent SE,USGASAC,14.061334544178502,102.9108103717501,116.97214491592862
SA12,TX East S,USGASAC,6.681432715479239,87.37265973881112,94.05409245429048
SA13,TX NE Coast,USGASAC,7.26599518432735,111.19857775996492,118.46457294429224
SA14,Rio Grande Plains N,USGASAC,6.56663093545847,65.96529342785423,72.53192436331284
SA15,TX South Coast,USGASAC,6.800123208624006,79.43986655708383,86.23998976570795
SA16,Rio Grande Plains S,USGASAC,5.83351654782315,58.13276606945271,63.96628261727586
SA17A,OK East,USGASAC,12.292753562940696,104.7229881139764,117.01574167691706
SA17B,AR West,USGASAC,7.379726960374078,74.99355149508447,82.37327845545869
SA18,AR East,USGASAC,4.464820825718856,43.36284680835588,47.82766763407465
SA19,LA,USGASAC,4.836644754038551,59.446574763924055,64.28321951796264
SA20,LA Coast Center & West,USGASAC,3.551511464065607,114.7995766708235,118.35108813488912
SA21A,LA Coast Southeast Toe,USGASAC,2.787954531199778,75.7735521180809,78.56150664928082
SA21B,MS Coast,USGASAC,4.442093645774125,67.87257716423197,72.31467081000606
SA21C,AL Coast,USGASAC,5.482271421650891,60.28095137159641,65.76322279324731
SA22A,MS Cent & South,USGASAC,5.772363591721078,57.44686588807654,63.21922947979767
SA22B,LA East,USGASAC,5.784937800576386,73.02174038430496,78.80667818488135
SA23,MS North,USGASAC,7.834713882923806,60.12551829478633,67.96023217771008
SA24,TN W,USGASAC,7.140489277337662,62.17220363014557,69.31269290748324
SA25,TN Cent,USGASAC,8.602575342817335,80.05488216853902,88.65745751135637
SA25B,TN Mountains,USGASAC,6.557387242080821,73.94193005513335,80.49931729721418
SA26,KY West,USGASAC,9.219598320895468,97.15607342637564,106.3756717472709
SA27,KY Mountains,USGASAC,5.367401126314584,58.79978940607728,64.16719053239184
SA28A,VA SW Mountains,USGASAC,5.704770877452447,61.290672124513,66.99544300196538
SA28B,VA West Moutnains,USGASAC,4.801837598599633,64.69425100648871,69.49608860508832
SA29,VA Cent,USGASAC,5.085553358411965,66.13468268539809,71.2202360438099
SA30,VA Coast,USGASAC,3.402479135759738,37.20622796467387,40.60870710043359
SA31A,NC Mountains,USGASAC,3.4140086749949257,36.41346471352662,39.82747338852156
SA31B,GA Mountains,USGASAC,2.5890561567634007,33.9215082681732,36.51056442493661
SA31C,SC Mountains,USGASAC,5.274800531152685,64.15736002376958,69.43216055492233
SA32,NC Cent,USGASAC,5.582711194071563,66.81539851150761,72.39810970557919
SA33,NC Coastal Plain,USGASAC,4.353286075800863,40.47065285269501,44.82393892849588
SA34,NC Coast,USGASAC,2.898995510062917,34.67255052509406,37.57154603515693
SA35,SC Cent,USGASAC,4.912746731425052,56.45399264190252,61.36673937332749
SA36,SC Coastal Plain,USGASAC,4.202728205153257,37.90657587797814,42.10930408313136
SA37,SC Coast,USGASAC,3.477996301227852,34.89054124691324,38.36853754814114
SA38,AL North,USGASAC,7.426501101455081,63.16928189798917,70.59578299944417
SA39,AL South,USGASAC,5.967762009547949,58.98285384440204,64.95061585395001
SA40,GA North,USGASAC,5.764085504198992,60.68634084659839,66.45042635079743
SA41,GA Cent,USGASAC,5.822128424008322,51.02242411328387,56.8445525372921
SA42,GA South,USGASAC,5.892254923659199,44.64544673336489,50.53770165702396
SA46,GA Coast,USGASAC,2.739673146371058,32.8952488908875,35.63492203725856
SA47,FL Northwest,USGASAC,4.994707162803022,55.45275423251176,60.447461395314754
SA48,FL Northeast,USGASAC,6.311479851106889,61.31297196230511,67.62445181341194
SA49,FL Central,USGASAC,5.818411461684006,78.99386409569153,84.81227555737547
SA50,FL South,USGASAC,5.631725049673383,99.08341398926844,104.715139038942
SA52A,PR,USGASAC,,,
NR01,Northern Panhandle,USMTNRC,1.186491351805088,27.14627622051593,28.332767572321004
NR02,NW Montana,USMTNRC,1.110591595608196,35.11265850150512,36.223250097113336
NR03,Southern Panhandle,USMTNRC,1.7150308110528634,33.2368338731122,34.95186468416509
NR04,West Montana,USMTNRC,2.807412273282943,47.57163256379037,50.37904483707339
NR05,Camas Prairie of Idaho,USMTNRC,12.21898655506876,57.68826885628256,69.90725541135136
NR06,N. Central Idaho & Bitterroot/Sapphire Mountains,USMTNRC,1.9609828750078429,33.19832601944768,35.15930889445557
NR07,Glacier NP and Wilderness,USMTNRC,1.059563091677236,30.898278019022943,31.957841110700176
NR08,Southwest Montana West of the Continental Divide,USMTNRC,1.5365776856497884,55.48664197185481,57.023219657504576
NR09,Big Hole SW Montana East of the Continental Divide,USMTNRC,1.7453986658878762,58.98789409737952,60.73329276326715
NR10,Northern Front Range,USMTNRC,4.5564381184992016,56.98453643253749,61.5409745510368
NR11,West Central Montana,USMTNRC,5.076252952714254,67.63999241582331,72.71624536853767
NR12,South Central Montana and Yellowstone NP,USMTNRC,0.8378805165389871,31.718254409191108,32.556134925730056
NR13,Northern Plains Missouri Breaks,USMTNRC,5.834403256896932,59.12279863199506,64.95720188889187
NR14,Southern Montana (Big Horn/Powder River),USMTNRC,10.06136515543325,66.28446069840787,76.34582585384112
NR15,Northeast Montana and Northwest North Dakota,USMTNRC,2.2696473617689312,64.94845524738187,67.21810260915086
NR16,Southeastern Montana and Southwest North Dakota,USMTNRC,5.354457284729498,82.78593263572371,88.14038992045296
NR17,Northeastern North Dakota,USMTNRC,0.8549042687997754,50.11278534562002,50.96768961441969
NR18,Southeastern North Dakota,USMTNRC,1.8347813005737608,60.88893325446467,62.72371455503833
SW01,Northwest AZ,USNMSWC,2.7654699732646284,12.017643110705167,14.783113083969797
SW02,West-Central AZ,USNMSWC,8.408085363085103,7.886603284329036,16.29468864741413
SW03,Southwest AZ,USNMSWC,6.529796879033114,3.080034823387897,9.609831702421012
SW04,Four Corners Area,USNMSWC,1.3814086330255486,9.060675919693264,10.442084552718809
SW05,Western Mogollon Rim,USNMSWC,1.1609216982823063,15.56037786320693,16.72129956148923
SW06N,Central AZ/Phoenix Metro,USNMSWC,9.474572241496354,12.135465346167274,21.61003758766363
SW06S,Southeast AZ,USNMSWC,6.418464819941185,23.5204180226399,29.93888284258109
SW07,Northwest NM Mtns.,USNMSWC,0.9147593976301678,22.41620573506172,23.33096513269188
SW08,White Mtns. & Gila Region,USNMSWC,1.2602496219206212,24.073330465885547,25.333580087806165
SW09,South/Central NM Lowlands,USNMSWC,1.7621346126547552,16.454587368825905,18.21672198148065
SW10,Sangre De Cristo Mountains,USNMSWC,0.8027291195491948,48.83142735391914,49.63415647346834
SW11,Central NM Mtns. & Plains,USNMSWC,0.7646367075250144,38.51816623577445,39.28280294329942
SW12,South-Central Nm Mtns.,USNMSWC,0.6245219321846973,40.504036323519,41.12855825570374
SW13,Northeast NM/NW TX,USNMSWC,1.8266191718968847,63.136497660625686,64.96311683252264
SW14N,Southeast NM/West TX,USNMSWC,3.119224577910753,43.6713507752086,46.790575353119365
NW01,W1,USORNWC,1.4793260936351365,24.259407374360904,25.73873346799608
NW02,W2,USORNWC,2.582482214525025,31.593615796052955,34.17609801057795
NW03,W3,USORNWC,3.813260391822382,37.68311689345807,41.4963772852804
NW04,W4,USORNWC,3.4448239492774686,24.508002811886723,27.952826761164165
NW05,C1,USORNWC,7.990056772945224,37.552848741441935,45.54290551438712
NW06,C2,USORNWC,10.214539374204886,36.53158127477132,46.746120648976266
NW07,C3,USORNWC,2.2995250258949684,31.17139665652101,33.47092168241601
NW08,E1,USORNWC,5.9157103898867,44.35807111504185,50.273781504928536
NW09,E2,USORNWC,3.324558343588958,42.33324773007279,45.65780607366175
NW10,E3,USORNWC,17.03675631568348,35.50230697131589,52.53906328699931
NW11,E4,USORNWC,6.4241532107645,53.856709234655575,60.28086244542004
NW12,E5,USORNWC,7.307001058684798,28.27711264770205,35.58411370638692
GB01,Payette,USUTGBC,3.8683690600835487,44.09028611139702,47.958655171480544
GB02,Central Idaho,USUTGBC,1.3690926772181178,36.41584974241884,37.78494241963688
GB03,SW Idaho,USUTGBC,15.037095598858729,41.07873781721462,56.115833416073386
GB04,Boise Mtns,USUTGBC,2.9233809378325635,46.74580014746032,49.66918108529292
GB05,Northern Sawtooth,USUTGBC,1.5592384739254803,36.1509606108366,37.71019908476212
GB06,Magic Valley,USUTGBC,13.371203618973004,42.06604252376073,55.43724614273379
GB07,Southern Sawtooth,USUTGBC,8.10780257551004,50.02034231593962,58.12814489144965
GB08,Upper Snake River,USUTGBC,6.56446923050713,49.61321819653806,56.17768742704508
GB09,Eastern Idaho Highlands,USUTGBC,1.377558650895899,51.47884025076712,52.85639890166298
GB10,Western Wyoming,USUTGBC,0.5749454831289709,39.58719839497813,40.1621438781071
GB11,Southern Sierra Front,USUTGBC,2.692358258492304,18.22616491965909,20.918523178151403
GB12,Northern Sierra Front,USUTGBC,11.274625556152657,14.162688143651524,25.43731369980417
GB13,Lahontan Basin,USUTGBC,5.200300602908246,4.540331007745948,9.740631610654194
GB14,NW Nevada,USUTGBC,11.491593215918693,11.638737640396808,23.130330856315545
GB15,Central NV Mountains,USUTGBC,2.248636646131251,7.482642883241574,9.731279529372827
GB16,Central NV Desert,USUTGBC,1.558833337026835,1.6569656829711072,3.2157990199979443
GB17,West Elko,USUTGBC,12.353856969292233,26.56589722980659,38.91975419909884
GB18,Jarbidge,USUTGBC,5.003170635334639,33.93993015465211,38.94310078998674
GB19,Ruby,USUTGBC,4.316901987911808,21.93405497981107,26.25095696772286
GB20,Ely North,USUTGBC,1.798575769897185,8.2377931394145,10.03636890931168
GB21,Ely South,USUTGBC,5.275889879268988,5.120119924842915,10.396009804111904
GB22,Amargosa,USUTGBC,4.714670946547989,1.3463258037437869,6.060996750291779
GB23,Spring Mountain,USUTGBC,3.643734775172896,1.8983978698549977,5.54213264502789
GB24,Southern NV Desert,USUTGBC,7.724911053415237,1.3332387539995938,9.05814980741482
GB25,NW Utah,USUTGBC,7.456556672341113,16.340017908103363,23.79657458044448
GB26,Uinta-Wasatch,USUTGBC,1.9523024270433345,51.08628579234214,53.03858821938551
GB27,Central Utah,USUTGBC,7.301162247426727,13.40281293545918,20.70397518288593
GB28,Fishlake-Henry Mountain,USUTGBC,1.120210080658851,16.99046249139942,18.11067257205827
GB29,Uinta Basin,USUTGBC,2.546372709225034,24.27240635422477,26.81877906344977
GB30,Manti,USUTGBC,0.5716994644984457,39.71857315132515,40.29027261582359
GB31,Castle,USUTGBC,2.067344607194962,11.288180065283903,13.355524672478872
GB32,Canyon,USUTGBC,1.6144489022669737,12.821233648663888,14.435682550930863
GB33,SW Utah Desert,USUTGBC,5.4418494165460025,13.458814650155436,18.900664066701427
GB34,Dixie-Bryce,USUTGBC,0.9222212496988528,20.56384709629888,21.48606834599771
GB35,AZ Strip-Monuments,USUTGBC,4.600576979856095,6.671294673633422,11.271871653489525
EA01,NW MN,USWIEACC,0.8151049678950364,57.10252044745164,57.91762541534654
EA02,SW MN / Nrn IA,USWIEACC,1.9902730384789853,29.131698286043694,31.121971324522576
EA03,E MN,USWIEACC,0.9820961746390192,51.84064001189361,52.82273618653284
EA04,N WI Wrn UP Of MI,USWIEACC,0.9069918519121786,40.04731415401978,40.95430600593198
EA05,SE MN Central WI,USWIEACC,3.855927716463373,59.8122442962987,63.66817201276219
EA06,NE WI Ern UP,USWIEACC,1.196097633033295,39.16873321672689,40.36483084976022
EA07,Nrn LP Of MI,USWIEACC,1.769907461806231,47.26672404506191,49.03663150686821
EA08,NW IN Srn LP Of MI,USWIEACC,3.0831574266902835,45.6492791632547,48.73243658994505
EA09,Srn IA NW MO,USWIEACC,7.212826174400224,73.01217445513288,80.22500062953341
EA10,Nrn IL,USWIEACC,3.873844640256265,35.53812037131003,39.41196501156606
EA11,Nrn IN,USWIEACC,3.558912075073927,30.134254783101422,33.6931668581753
EA12,SW MO,USWIEACC,10.977119864189175,118.52019242957071,129.49731229375968
EA13,SE MO,USWIEACC,6.321237769636266,77.94533536732533,84.26657313696155
EA14,Srn IL IN,USWIEACC,6.233890368822629,56.87427731045058,63.10816767927314
EA15,NW OH Wrn WV,USWIEACC,3.660379043521782,39.53134431572081,43.19172335924257
EA16,SE OH / SW PA WV,USWIEACC,4.855033991438568,63.75326486682369,68.60829885826226
EA17,E WV,USWIEACC,3.190636762475751,44.48771525005473,47.67835201253049
EA18,NW PA Wrn NY,USWIEACC,2.3341071531447866,53.8472164325677,56.18132358571263
EA19,Cntrl PA Cntrl NY,USWIEACC,2.450042055838291,51.58873319308349,54.03877524892175
EA20,Upstate NY,USWIEACC,0.8487717394013948,33.16282468974104,34.011596429142486
EA21,Wt Wrn ME NH,USWIEACC,0.3874668363131988,21.92278267843702,22.31024951475019
EA22,ME NH Coast,USWIEACC,0.6395360992963167,25.478305309594184,26.117841408890524
EA23,Srn New England,USWIEACC,1.9416919616994648,31.54784288503532,33.489534846734784
EA24,Mid Atlantic,USWIEACC,4.049822193024082,45.81105539959888,49.86087759262285
